Parameter,T_SRC,T_SRRC,R_offset_SRC,R_offset_SRRC,sigma_max_SRC,sigma_max_SRRC
release_speed,-0.7802398187642693,-1.0,0.11721261891915763,0.2533520862634787,-0.030038077375908287,-0.06298640412564463
d,0.06162090174562417,0.16082981715893108,-0.9366575904374325,-0.9812001875293014,-0.00105607992245009,-0.08227848101265822
m_b,0.04255312066637435,0.06954992967651195,-0.011746829918873741,0.11251758087201125,-0.03243811335990525,0.0216361931551805
wave_amplitude,0.06283676048783864,0.06319737458977966,0.01662242501079428,0.014674167838724802,0.8789329859315008,0.8191279887482419
wave_period,-0.14320567153360464,0.027894983591186126,-0.005947843874949302,-0.01692451945616503,-0.5129699708447548,-0.20979840600093766
wave_direction,0.03274239810327856,0.14736645393921333,0.005005336997379925,0.12922634204649522,0.0761988402297283,0.00339969599536568
winch_offset_x,0.0054741805112379,0.024706985466479137,0.12415691335670118,0.2561181434599156,-0.12285381089377777,-0.2865682137834037
winch_offset_y,0.015788112680457954,0.012025316455696202,0.020092185503454797,-0.039943741209564,-0.025039860956106212,-0.055625879043600564
