wave_amplitude,d,release_speed,wave_period,sigma_max
0.4993750186196802,0.0327454906826084,0.9089557691502704,9.988227831514044,124.2350813511717
1.5334786630296913,0.0401779561521706,0.6052580114281779,7.669516859989917,175.32764079207013
2.4499959410417023,0.0250345799504544,1.1227947662272229,7.1552390324893285,223.57019699203389
1.385419321125107,0.0359148455653147,0.6113782888012091,7.480713813491556,156.86639267203455
3.2785001104434968,0.0332129238786097,0.1817980562325823,12.733759811833066,207.0274633026372
1.990162584534353,0.0478857032892247,1.4748498414197342,15.0209675248256,130.94440575211746
3.429650292186828,0.0420638582884209,1.2255563286804378,12.401634452812232,182.42995982568064
1.904559821507041,0.0453761757267706,0.774468973928079,11.541449629776192,164.56149805765497
0.850562370342026,0.0239453090122121,0.1063924293999896,7.871147770679007,126.82728123491744
3.701634265128956,0.0385226514749339,0.5400654462178072,15.963300780279164,168.16504761406176
0.5720687863043841,0.0340722057481199,0.7533745130442707,8.872160990858267,117.41295700358737
2.684424782183808,0.0322807929108922,1.357177743866912,8.944230465553247,199.8562978027728
2.1493098609338985,0.0267741531602992,0.3561682793153157,15.386427413661549,164.83640659895042
0.9470685258123548,0.0496863605422429,0.1388718591805985,6.612951129730813,146.2416313427951
3.626810821505612,0.0488715914385879,0.7421457590773636,13.5301850587706,179.51094688687203
3.552749148396896,0.0300281921118197,1.4897782855440271,10.494798228267264,209.95586591987757
1.2960567943771022,0.0164929054996722,1.4631904480648554,9.80236735753745,151.09225883562252
3.948570325003685,0.0161014922463374,0.2932252137682747,15.81416770864523,180.89885556295508
1.457768060882602,0.0315081981473973,0.6692139354815033,7.070136067461869,171.71234716175263
0.8805685955806091,0.0191326091872016,0.4300456409425243,6.214845777020124,162.15065844012747
1.7657229035816315,0.0277242448177523,1.3056145334457718,11.930643441326064,129.18771695948266
3.880534786361493,0.0347081065146569,1.284450069375603,13.71800436367905,198.062097497048
0.781941119075795,0.0390658356907255,0.8448858014499467,11.763650938640184,121.08862249874608
3.093012833267078,0.0317730231973641,0.2439897824380577,12.531651298581371,175.19358158542107
1.6639847553625071,0.0220738882059453,0.8678517361827989,11.175077151059895,147.38678207919307
1.1431648686288156,0.0171998259385983,0.6288954153307793,10.873257964036474,142.54861876341596
3.449896961062007,0.0462784806549159,0.3428679311690007,13.850028043542494,173.4721881419045
3.791115035793315,0.0285083577109029,1.4277064893477471,8.712381413527382,260.80206244801826
3.118628092989476,0.0224703963121759,1.197487191029564,14.170753111039865,164.05886077768184
1.5867928565083838,0.0427392313829599,0.8005909415374943,15.191577299805587,141.5761976588714
2.977288444446545,0.0430888925238577,0.2779849992395521,14.2992480224125,178.17689356213864
1.4887941949917645,0.0275011765872115,0.4609517792403742,8.443262889740463,157.83516184902808
2.499264400971568,0.0298289408400638,1.2057100466400816,14.606728344475911,157.4144790512776
1.190203363728377,0.0210525798713033,0.8713830167314697,6.485563742041831,187.08219252143348
0.9888025533004788,0.0484288745804514,1.1840658161790245,7.585251112880994,135.79418862087348
0.7106540901479699,0.0424830944458015,1.411739186414776,9.428595918532151,126.39871549484782
2.097531811342908,0.0412055185424796,1.1408343233974414,11.634394766372743,129.26282714755928
3.494482044390212,0.0352116136773803,0.3803575130897345,11.277625455677734,226.1026029948416
3.2096207446162373,0.0309850252775528,0.2074924874778552,10.341692085312395,218.31994382620152
2.796943960690404,0.0345267135830746,0.9009300260407448,9.327566990034134,194.6603215726938
0.4120668474830748,0.0152271016876187,1.238963909658082,8.143929938903296,151.416742278576
0.6178857818265284,0.0262489319187951,1.3664239414878163,10.538150233897689,115.60293347665552
3.71804285842172,0.0474949994126312,0.5358358244059762,12.357824008745274,212.5332532395568
3.987964290692639,0.0177146372579449,0.9613040781689828,10.676240513080211,226.92604501982365
0.2226749906631266,0.0213120616501101,1.1051133642992323,9.654509576249175,110.2976316039645
0.3383338219342384,0.0442601165550307,0.3112033658754232,7.917767089369934,122.74574432496956
2.7521495903067668,0.0233569646355293,1.389161339229256,6.829475997778493,229.4912577385585
3.1578399288378245,0.0371209169837255,1.0286177693909244,7.305875866843387,259.4504608213891
3.289818253649817,0.0167558486990956,1.0034137092140856,13.485190177847867,192.8437725765224
2.600919896812517,0.0470748328402663,0.2297054850005386,8.52182506110046,226.9369015052272
2.949747050477685,0.0360356816707119,0.1997162706497564,13.000370667770303,183.5768737707405
1.4041190617609571,0.0443128916804175,0.5706376581922508,12.113694909126984,129.23456524394894
0.3467446842112829,0.0365351640259471,0.4999971171845838,6.667966370084064,129.20339544906028
2.344653079961154,0.029086851707749,0.7018963093911648,15.742846007480845,149.3041094008345
0.6654153497408448,0.0435083836543382,0.7177828862803738,14.109384540086795,121.86167512958528
2.233330529183727,0.045994594315807,0.4351052057541661,13.341155156085277,149.21976280075174
3.008003078710076,0.0182303648256567,1.0790462444876523,9.536302714362424,213.36272165204605
3.8272706037498807,0.0379868797189244,0.1528495243578016,6.303448356255171,344.7370858191269
0.2503217655394629,0.0396313480242422,1.262384698723368,13.231445126259992,124.85654346959728
2.1330265313213603,0.0495038336081806,0.1329136932915394,11.071512098289832,175.7087414364222
3.6049405567124313,0.04509228751957,1.317846295584998,6.120492520715329,285.8296080578164
2.401722447095443,0.019564974793561,0.5799819861703629,10.04344586793487,191.6760109921061
2.83564488588118,0.0252261195395882,0.932450181584352,15.282911788939725,168.26021296921266
1.7752243377886092,0.0404625566952908,1.01839518549204,6.9382322941853225,172.89538066582327
